Interactor A Gene Symbol,Interactor B Gene Symbol,Interactor A Uniprot AC,Interactor B Uniprot AC,Database,,,,
DNMT3B,ZBTB16,Q9UBC3,Q05516,IID,,,,
DNMT3B,SUV39H1,Q9UBC3,O43463,IID,,,,
DNMT3B,PRMT5,Q9UBC3,O14744,IID,,,,
DNMT3B,ATF7IP,Q9UBC3,Q6VMQ6,IID,,,,
DNMT3B,RPL10A,Q9UBC3,P62906,IID,,,,
DNMT3B,PACSIN3,Q9UBC3,Q9UKS6,IID,,,,
DNMT3B,SFRP5,Q9UBC3,Q5T4F7,IID,,,,
DNMT3B,MAPK8IP1,Q9UBC3,Q9UQF2,IID,,,,
DNMT3B,MYC,Q9UBC3,P01106,IID,,,,
DNMT3B,PIK3R1,Q9UBC3,P27986,IID,,,,
DNMT3B,CBX2,Q9UBC3,Q14781,IID,,,,
DNMT3B,BCOR,Q9UBC3,Q6W2J9,IID,,,,
DNMT3B,UBE2I,Q9UBC3,P63279,IID,,,,
DNMT3B,CDC73,Q9UBC3,Q6P1J9,IID,,,,
DNMT3B,CUL2,Q9UBC3,Q13617,IID,,,,
DNMT3B,FTSJ3,Q9UBC3,Q8IY81,IID,,,,
DNMT3B,MYL6B,Q9UBC3,P14649,IID,,,,
DNMT3B,DUSP23,Q9UBC3,Q9BVJ7,IID,,,,
DNMT3B,CENPA,Q9UBC3,P49450,IID,,,,
DNMT3B,BANP,Q9UBC3,Q8N9N5,IID,,,,
DNMT3B,RCOR1,Q9UBC3,Q9UKL0,IID,,,,
DNMT3B,MBD4,Q9UBC3,O95243,IID,,,,
DNMT3B,PCGF2,Q9UBC3,P35227,IID,,,,
DNMT3B,AURKA,Q9UBC3,O14965,IID,,,,
DNMT3B,HDGF,Q9UBC3,P51858,IID,,,,
DNMT3B,BAZ1B,Q9UBC3,Q9UIG0,IID,,,,
DNMT3B,MAP1LC3B,Q9UBC3,Q9GZQ8,IID,,,,
DNMT3B,NSD3,Q9UBC3,Q9BZ95,IID,,,,
DNMT3B,EPDR1,Q9UBC3,Q9UM22,IID,,,,
DNMT3B,ING2,Q9UBC3,Q9H160,IID,,,,
DNMT3B,MSH6,Q9UBC3,P52701,IID,,,,
DNMT3B,GATA4,Q9UBC3,P43694,IID,,,,
DNMT3B,BRPF1,Q9UBC3,P55201,IID,,,,
DNMT3B,DOT1L,Q9UBC3,Q8TEK3,IID,,,,
DNMT3B,UBC,Q9UBC3,P0CG48,IID,,,,
DNMT3B,PRDM1,Q9UBC3,O75626,IID,,,,
DNMT3B,CRX,Q9UBC3,O43186,IID,,,,
DNMT3B,RPL13,Q9UBC3,P26373,IID,,,,
DNMT3B,PRMT2,Q9UBC3,P55345,IID,,,,
DNMT3B,RNF4,Q9UBC3,P78317,IID,,,,
DNMT3B,TWIST1,Q9UBC3,Q15672,IID,,,,
DNMT3B,MAP3K9,Q9UBC3,P80192,IID,,,,
DNMT3B,MECP2,Q9UBC3,P51608,IID,,,,
DNMT3B,PML,Q9UBC3,P29590,IID,,,,
DNMT3B,RTF1,Q9UBC3,Q92541,IID,,,,
DNMT3B,PCDHGB4,Q9UBC3,Q9UN71,IID,,,,
DNMT3B,MBD3,Q9UBC3,O95983,IID,,,,
DNMT3B,TRDMT1,Q9UBC3,O14717,IID,,,,
DNMT3B,BAZ1A,Q9UBC3,Q9NRL2,IID,,,,
DNMT3B,SMC2,Q9UBC3,O95347,IID,,,,
DNMT3B,INCENP,Q9UBC3,Q9NQS7,IID,,,,
DNMT3B,NHEJ1,Q9UBC3,Q9H9Q4,IID,,,,
DNMT3B,ACTB,Q9UBC3,P60709,IID,,,,
DNMT3B,MITF,Q9UBC3,O75030,IID,,,,
DNMT3B,SGO1,Q9UBC3,Q5FBB7,IID,,,,
DNMT3B,KDM1A,Q9UBC3,O60341,IID,,,,
DNMT3B,STAT3,Q9UBC3,P40763,IID,,,,
DNMT3B,PIWIL2,Q9UBC3,Q8TC59,IID,,,,
DNMT3B,SKIL,Q9UBC3,P12757,IID,,,,
DNMT3B,ZHX1,Q9UBC3,Q9UKY1,IID,,,,
DNMT3B,DNMT1,Q9UBC3,P26358,IID,,,,
DNMT3B,E2F1,Q9UBC3,Q01094,IID,,,,
DNMT3B,POLR2C,Q9UBC3,P19387,IID,,,,
DNMT3B,BDNF,Q9UBC3,P23560,IID,,,,
DNMT3B,SIN3B,Q9UBC3,O75182,IID,,,,
DNMT3B,RECQL4,Q9UBC3,O94761,IID,,,,
DNMT3B,SAP30,Q9UBC3,O75446,IID,,,,
DNMT3B,RAD21,Q9UBC3,O60216,IID,,,,
DNMT3B,PIWIL4,Q9UBC3,Q7Z3Z4,IID,,,,
DNMT3B,NCAPD2,Q9UBC3,Q15021,IID,,,,
